repositoryName1,repositoryName2,intersection,similarity
JMCuixy/swagger2word,karcan/javaBootcamp,"[api, io, swagger, ui]",1.0
TheHolyWaffle/TeamSpeak-3-Java-API,ctongfei/progressbar,"[api, junit, logging, slf4j, testing]",0.71
ewolff/microservice,spring-guides/tut-spring-boot-oauth2,"[assets, bootstrap, web]",0.75
jboss-javassist/javassist,shekhargulati/99-problems,"[junit, matching, testing]",1.0
hoijui/JavaOSC,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.83
TheHolyWaffle/TeamSpeak-3-Java-API,plutext/docx4j-ImportXHTML,"[api, junit, logging, slf4j, testing]",0.71
fordfrog/apgdiff,shekhargulati/99-problems,"[junit, matching, testing]",1.0
opentelecoms-org/jsmpp,uudashr/jsmpp,"[api, base64, bridge, codec, encoding, junit, logging, slf4j, testing, testng]",1.0
Tencent/RapidView,luaj/luaj,"[junit, testing]",1.0
conversant/disruptor,kaitoy/pcap4j,"[api, junit, logging, slf4j, testing]",0.71
NLPchina/nlp-lang,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.83
ObjectLayout/ObjectLayout,yellowstonegames/SquidLib,"[benchmark, generator, junit, performance, testing]",0.71
lukaszlenart/launch4j-maven-plugin,tunnelvisionlabs/antlr4cs,"[annotations, apache, api, build, build-system, compatibility, junit, maven, model, plugin, testing, tools]",0.71
TooTallNate/Java-WebSocket,hneemann/Digital,"[api, json, junit, logging, slf4j, testing]",0.75
grundid/nfctools,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.71
timrdf/csv2rdf4lod-automation,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.71
timrdf/csv2rdf4lod-automation,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.71
boncey/Flickr4Java,zeroturnaround/zt-zip,"[api, junit, logging, slf4j, testing]",0.71
MarkShen1992/Mashibing_High_Concurrency,vanilladb/vanillacore,"[io, junit, testing]",0.75
RobotiumTech/robotium,geometer/FBReader-Android-2,"[android, google, platform, support]",0.8
JakeWharton/ActionBarSherlock,inmite/android-validation-komensky,"[android, google, junit, library, platform, support, testing, validation]",0.73
ahorn/android-rss,kevinsawicki/wishlist,"[android, google, junit, platform, testing]",0.83
ozlerhakan/poiji,usb4java/usb4java,"[apache, junit, testing]",0.75
HdrHistogram/HdrHistogram,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",0.71
4pr0n/ripme,RipMeApp/ripme,"[apache, cli, client, command-line, config, html, http, io, json, logging, mime, parser]",0.75
ctripcorp/dal,ppdaicorp/das,"[apache, api, base64, bridge, bytecode, client, codec, commons, connector, container, database, dependency-injection, dom, driver, encoding, engine, filtering, github, google, http, io, javax, jdbc, json, junit, logging, mail, mock, mocking, module, mysql, persistence, pool, server, servlet, slf4j, specs, spring, sql, standard, template, testing, tomcat, webserver, webservice, xml]",0.79
MarkShen1992/Mashibing_High_Concurrency,vdurmont/emoji-java,"[json, junit, testing]",0.75
coveooss/fmt-maven-plugin,lukaszlenart/launch4j-maven-plugin,"[annotations, apache, api, build, build-system, compatibility, junit, maven, model, plugin, testing, tools]",0.92
DomHeal/JavaFX-Chat,cowtowncoder/java-uuid-generator,"[api, logging, slf4j]",1.0
ipfs-shipyard/java-ipfs-http-client,petitparser/java-petitparser,"[github, junit, matching, testing]",1.0
hoijui/JavaOSC,kokorin/Jaffree,"[api, bridge, junit, logging, slf4j, testing]",0.75
hoijui/JavaOSC,sofastack/sofa-common-tools,"[api, bridge, junit, logging, slf4j, testing]",0.75
fluent/fluent-logger-java,roundrop/facebook4j,"[api, junit, logging, slf4j, testing]",0.71
TNG/JGiven,sdbg/sdbg,"[annotations, apache, api, build, build-system, maven, model, plugin, tools]",0.75
plutext/docx4j-ImportXHTML,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.71
amaembo/streamex,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",1.0
laforge49/JActor,zeroturnaround/zt-zip,"[api, junit, logging, slf4j, testing]",0.71
cternes/openkeepass,cybergarage/cybergarage-upnp,"[junit, testing, xml]",0.75
openjdk/loom,openjdk/valhalla,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",0.81
chewiebug/GCViewer,gardncl/elements-of-programming-interviews,"[junit, matching, mock, mocking, testing]",0.83
BedwarsRel/BedwarsRel,cowtowncoder/java-uuid-generator,"[api, logging, slf4j]",0.75
TheHolyWaffle/TeamSpeak-3-Java-API,grundid/nfctools,"[api, junit, logging, slf4j, testing]",0.83
boncey/Flickr4Java,jitlogic/zorka,"[api, junit, logging, slf4j, testing]",0.71
MGunlogson/CuckooFilter4J,greenrobot/essentials,"[google, junit, testing]",0.75
NoCheatPlus/NoCheatPlus,dlsc-software-consulting-gmbh/FormsFX,"[junit, testing]",1.0
andytill/erlyberly,ktuukkan/marine-api,"[junit, testing]",1.0
HyDevelop/PicqBotX,zeromq/jeromq,"[junit, testing]",1.0
apache/commons-codec,thrau/jarchivelib,"[apache, commons, junit, testing]",0.8
abel533/ECharts,aionnetwork/aion,"[google, junit, testing]",0.75
201206030/fiction_house,didi/AgileTC,"[apache, client, commons, connector, database, driver, github, http, mysql, persistence, spring, starter]",0.71
apache/commons-imaging,poetix/protonpack,"[junit, matching, testing]",0.75
jagrosh/MusicBot,jagrosh/Vortex,"[config, junit, logging, matching, testing, typesafe]",1.0
bz51/SpringBoot-Dubbo-Docker-Jenkins,xaecbd/KafkaCenter,"[google, io, json, persistence, spring, starter]",0.75
pivovarit/parallel-collectors,pivovarit/throwing-function,"[api, assertion, engine, junit, logging, quality, slf4j, testing]",0.73
OpenHFT/Zero-Allocation-Hashing,google/google-java-format,"[analysis, annotations, defect, google, junit, metadata, testing]",0.88
stateless4j/stateless4j,vdurmont/semver4j,"[junit, mock, mocking, testing]",1.0
awslabs/multi-model-server,tbsalling/aismessages,"[junit, mock, mocking, testing]",1.0
TooTallNate/Java-WebSocket,jitlogic/zorka,"[api, junit, logging, slf4j, testing]",0.71
andytill/erlyberly,luaj/luaj,"[junit, testing]",1.0
HyDevelop/PicqBotX,mpatric/mp3agic,"[junit, testing]",1.0
microsoft/vscode-java-debug,taycaldwell/riot-api-java,"[google, json, junit, testing]",1.0
Password4j/password4j,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.71
apache/commons-codec,ozlerhakan/poiji,"[apache, junit, testing]",0.75
NoCheatPlus/NoCheatPlus,taksan/skype-java-api,"[junit, testing]",1.0
spotify/futures-extra,spotify/trickle,"[google, junit, mock, mocking, testing]",0.71
apache/guacamole-client,glyptodon/guacamole-client,"[annotations, apache, api, barcode, base64, binding, bridge, client, codec, collections, container, dependency-injection, directory, eclipse, encoding, engine, extension, google, javax, jetty, json, junit, jwt, logging, mapping, messaging, module, persistence, relational, security, server, servlet, slf4j, specs, spring, standard, structures, testing, tomcat, web, webserver, webservice, websocket, xml]",1.0
streamsets/tutorials,zeroturnaround/zt-zip,"[api, bridge, junit, logging, slf4j, testing]",0.75
SonarSource/sonar-scanner-gradle,stefanbirkner/system-rules,"[assertion, github, io, junit, quality, testing]",0.75
JodaOrg/joda-money,zeromq/jeromq,"[junit, testing]",1.0
jhg023/SimpleNet,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.71
NLPchina/nlp-lang,sofastack/sofa-common-tools,"[apache, api, junit, logging, slf4j, testing]",0.75
TooTallNate/Java-WebSocket,grundid/nfctools,"[api, junit, logging, slf4j, testing]",0.71
fluent/fluent-logger-java,zeroturnaround/zt-zip,"[api, junit, logging, slf4j, testing]",0.71
eclipse-ee4j/grizzly,javaee/grizzly,"[apache, api, build, build-system, bundle, client, connection, framework, http, junit, maven, mock, mocking, monitoring, osgi, plugin, pooling, server, servlet, testing, webservice, websocket, xml]",0.79
microsoft/vscode-java-debug,vdurmont/emoji-java,"[json, junit, testing]",0.75
jsonzou/jmockdata,vdurmont/emoji-java,"[json, junit, testing]",1.0
boncey/Flickr4Java,roundrop/facebook4j,"[api, junit, logging, slf4j, testing]",0.71
hoijui/JavaOSC,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.71
Polve/bitcoin-rpc-client,thrau/jarchivelib,"[apache, commons, junit, testing]",0.8
Esri/geometry-api-java,abel533/ECharts,"[json, junit, testing]",0.75
SAP/SapMachine,openjdk/jdk,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",1.0
HyDevelop/PicqBotX,giltene/jHiccup,"[junit, testing]",1.0
cucumber-attic/gherkin2,romankh3/image-comparison,"[junit, mock, mocking, testing]",0.8
cucumber/cucumber-java-skeleton,vanilladb/vanillacore,"[io, junit, testing]",1.0
apache/incubator-crail,zrlio/disni,"[bridge, cli, command-line, junit, logging, parser, slf4j, testing]",0.73
AdoptOpenJDK/openjdk-jdk,openjdk/panama-foreign,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",1.0
a466350665/smart-sso,tbroyer/gwt-maven-archetypes,"[api, javax, servlet, specs, standard]",0.83
dlsc-software-consulting-gmbh/FormsFX,yago-naga/yago3,"[junit, testing]",1.0
gardncl/elements-of-programming-interviews,tbsalling/aismessages,"[junit, mock, mocking, testing]",0.8
robinst/autolink-java,thomasmueller/minperf,"[benchmark, junit, performance, testing]",0.8
google/google-java-format,sviperll/adt4j,"[analysis, annotations, defect, google, junit, metadata, testing]",0.88
plutext/docx4j-ImportXHTML,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.71
awslabs/multi-model-server,maxmind/geoip-api-java,"[junit, mock, mocking, testing]",1.0
aionnetwork/aion,taycaldwell/riot-api-java,"[google, junit, testing]",0.75
NLPchina/nlp-lang,Password4j/password4j,"[apache, api, junit, logging, slf4j, testing]",0.86
aionnetwork/aion,microsoft/vscode-java-debug,"[google, junit, testing]",0.75
antlr4ide/antlr4ide,jplag/jplag,"[compiler, generator, junit, parser, testing]",0.71
giltene/jHiccup,yago-naga/yago3,"[junit, testing]",1.0
chewiebug/GCViewer,garbagemule/MobArena,"[junit, matching, mock, mocking, testing]",0.71
Progether/JAdventure,TooTallNate/Java-WebSocket,"[api, json, junit, logging, slf4j, testing]",0.75
Tencent/RapidView,andytill/erlyberly,"[junit, testing]",1.0
HyDevelop/PicqBotX,andytill/erlyberly,"[junit, testing]",1.0
JodaOrg/joda-beans,julman99/gson-fire,"[google, junit, testing]",0.75
hoijui/JavaOSC,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.83
Polve/bitcoin-rpc-client,huaban/jieba-analysis,"[apache, commons, junit, testing]",1.0
svendiedrichsen/jollyday,verhas/License3j,"[api, engine, junit, mock, mocking, testing]",0.86
AdoptOpenJDK/jitwatch,timrdf/csv2rdf4lod-automation,"[api, junit, logging, slf4j, testing]",0.71
TooTallNate/Java-WebSocket,boncey/Flickr4Java,"[api, junit, logging, slf4j, testing]",0.71
TooTallNate/Java-WebSocket,dgarijo/Widoco,"[api, json, junit, logging, slf4j, testing]",0.75
luaj/luaj,taksan/skype-java-api,"[junit, testing]",1.0
fluent/fluent-logger-java,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.83
RobotiumTech/robotium,kevinsawicki/wishlist,"[android, google, platform, support, testing]",0.83
peholmst/vaadin4spring,sealedtx/java-youtube-downloader,"[engine, junit, mock, mocking, testing]",0.71
laforge49/JActor,roundrop/facebook4j,"[api, junit, logging, slf4j, testing]",0.71
AdoptOpenJDK/jitwatch,boncey/Flickr4Java,"[api, junit, logging, slf4j, testing]",0.83
Ekryd/sortpom,TimMoore/mojo-executor,"[annotations, apache, api, build, build-system, junit, logging, matching, maven, mock, mocking, model, plugin, slf4j, testing, tools]",0.73
amaembo/streamex,robinst/autolink-java,"[benchmark, junit, performance, testing]",0.8
TheHolyWaffle/TeamSpeak-3-Java-API,alibaba/cooma,"[api, junit, logging, slf4j, testing]",0.71
hoijui/JavaOSC,jitlogic/zorka,"[api, junit, logging, slf4j, testing]",0.71
games647/ChangeSkin,games647/FastLogin,"[bridge, config, google, jdbc, json, junit, logging, pool, slf4j, testing]",0.83
tbsalling/aismessages,zeromq/jzmq,"[junit, mocking, testing]",0.75
NoCheatPlus/NoCheatPlus,perlundq/yajsync,"[junit, testing]",1.0
mpatric/mp3agic,taksan/skype-java-api,"[junit, testing]",1.0
AdoptOpenJDK/mjprof,kostaskougios/cloning,"[junit, reflection, testing]",0.75
fordfrog/apgdiff,jboss-javassist/javassist,"[junit, matching, testing]",1.0
apache/commons-dbutils,vdurmont/semver4j,"[junit, mock, mocking, testing]",0.8
jasminb/jsonapi-converter,upyun/java-sdk,"[client, http, json, junit, testing]",0.71
JetBrains/intellij-plugins,lbehnke/hierarchical-clustering-java,"[io, junit, testing]",1.0
JodaOrg/joda-money,ktuukkan/marine-api,"[junit, testing]",1.0
JunzhouLiu/BILIBILI-HELPER,brsanthu/google-analytics-java,"[apache, api, bridge, client, http, junit, logging, slf4j, testing]",0.82
GwtMaterialDesign/gwt-material,gwtbootstrap3/gwtbootstrap3,"[framework, google, gwt, junit, testing, ui, web]",0.88
romankh3/image-comparison,svendiedrichsen/jollyday,"[api, junit, mock, mocking, testing]",0.71
Tencent/RapidView,taksan/skype-java-api,"[junit, testing]",1.0
giltene/jHiccup,taksan/skype-java-api,"[junit, testing]",1.0
Password4j/password4j,TheHolyWaffle/TeamSpeak-3-Java-API,"[api, junit, logging, slf4j, testing]",0.71
dlsc-software-consulting-gmbh/FormsFX,mpatric/mp3agic,"[junit, testing]",1.0
niaobulashi/ruoyi,yangzongzhuan/RuoYi-Vue,"[apache, api, collections, engine, framework, generator, github, io, json, jwt, model, native, persistence, platform, scheduling, security, spring, starter, structures, swagger, system, template, upload]",0.85
jfree/jfreechart-fse,knowm/Sundial,"[api, javax, junit, servlet, specs, standard, testing]",0.78
AdoptOpenJDK/jitwatch,conversant/disruptor,"[api, junit, logging, slf4j, testing]",1.0
gradle/oreilly-gradle-book-examples,graylog-labs/graylog-plugin-slack,"[junit, logging, testing]",0.75
spotify/futures-extra,verhas/License3j,"[api, junit, mock, mocking, testing]",0.71
apache/commons-imaging,cucumber/cucumber-java-skeleton,"[io, junit, testing]",0.75
HyDevelop/PicqBotX,perlundq/yajsync,"[junit, testing]",1.0
SQLDroid/SQLDroid,square/otto,"[android, assertion, google, junit, platform, quality, testing]",0.78
bastillion-io/Bastillion,bastillion-io/Bastillion-EC2,"[apache, barcode, base64, codec, commons, config, database, eclipse, embedded, encoding, google, jdbc, jetty, json, network, pool, server, sql, ssh, upload, webserver, websocket]",0.81
apache/commons-imaging,lbehnke/hierarchical-clustering-java,"[io, junit, testing]",0.75
apache/commons-dbutils,maxmind/geoip-api-java,"[junit, mock, mocking, testing]",0.8
conversant/disruptor,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",1.0
beckchr/juel,jfree/jfreesvg,"[api, junit, testing]",0.75
JorelAli/CommandAPI,filoghost/HolographicDisplays,[api],1.0
stleary/JSON-java,vdurmont/semver4j,"[junit, mock, mocking, testing]",0.8
apavlo/h-store,maxmind/geoip-api-java,"[junit, mocking, testing]",0.75
gturri/aXMLRPC,ipfs-shipyard/java-ipfs-http-client,"[github, junit, testing]",0.75
TooTallNate/Java-WebSocket,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.71
grundid/nfctools,jitlogic/zorka,"[api, junit, logging, slf4j, testing]",0.71
jhalterman/concurrentunit,mmnaseri/cs-review,"[matching, testing, testng]",1.0
romankh3/image-comparison,vdurmont/semver4j,"[junit, mock, mocking, testing]",0.8
thrau/jarchivelib,usb4java/usb4java,"[apache, commons, junit, testing]",0.8
JSQLParser/JSqlParser,apache/commons-csv,"[apache, commons, database, embedded, io, junit, mock, mocking, sql, testing]",0.77
google/openrtb,google/openrtb-doubleclick,"[analysis, api, bridge, dependency-injection, google, io, javax, junit, logging, management, metrics, monitoring, performance, protocol, serialization, slf4j, specs, standard, testing]",1.0
javaee/jax-rs-api,jfree/jfreechart-fse,"[api, javax, junit, specs, standard, testing]",0.75
dlsc-software-consulting-gmbh/FormsFX,zeromq/jeromq,"[junit, testing]",1.0
apache/commons-dbutils,awslabs/multi-model-server,"[junit, mock, mocking, testing]",0.8
Polve/bitcoin-rpc-client,apache/commons-codec,"[apache, commons, junit, testing]",1.0
abel533/ECharts,microsoft/vscode-java-debug,"[google, json, junit, testing]",1.0
mybatis/jpetstore-6,mybatis/spring,"[apache, api, assertion, database, dependency-injection, embedded, engine, framework, hsql, jdbc, junit, logging, mapping, mock, mocking, persistence, quality, relational, servlet, slf4j, spring, sql, testing, web]",0.71
ArcBees/Jukito,spring-projects/spring-guice,"[dependency-injection, extension, google, junit, mock, mocking, testing]",1.0
huaban/jieba-analysis,thrau/jarchivelib,"[apache, commons, junit, testing]",0.8
andytill/erlyberly,mpatric/mp3agic,"[junit, testing]",1.0
mpatric/mp3agic,perlundq/yajsync,"[junit, testing]",1.0
LinShunKang/MyPerf4J,openjdk/jol,"[benchmark, bytecode, generator, junit, performance, testing]",0.75
ObjectLayout/ObjectLayout,arturmkrtchyan/iban4j,"[benchmark, junit, performance, testing]",0.8
kiegroup/droolsjbpm-knowledge,mkotsur/restito,"[bridge, junit, logging, slf4j, testing]",0.71
SpoutDev/Vanilla,pytorch/serve,"[google, json, junit, mock, mocking, testing]",0.75
qmx/jitescript,square/pollexor,"[assertion, junit, quality, testing, validation]",0.83
eclipse-ee4j/jersey,javaee/jersey,"[annotations, aop, apache, api, aspect, authentication, base64, beans, benchmark, binding, bridge, build, build-system, bundle, bytecode, client, codec, codehaus, compatibility, connection, connector, container, dependency-injection, distributed, doc, eclipse, ejb, encoding, example, filtering, framework, generator, github, google, hibernate, html, http, ide, io, javaee, javax, jaxrs, jboss, jetty, json, jsp, junit, layout, library, logging, management, mapping, matching, maven, metrics, mock, mocking, model, module, monitoring, mustache, mvc, netbeans, netty, network, oauth, osgi, parser, performance, persistence, plugin, pooling, provider, proxy, reactive, reflection, resource, rest, security, serialization, server, service, servlet, signing, slf4j, socket, specs, spring, standard, streaming, swing, template, testing, testng, tools, tracing, transaction, transport, tree, ui, url, validation, vfs, web, webapp, webserver, webservice, websocket, xml]",0.92
luaj/luaj,mpatric/mp3agic,"[junit, testing]",1.0
luaj/luaj,yago-naga/yago3,"[junit, testing]",1.0
janino-compiler/janino,wildfly/jandex,"[ant, apache, build, junit, testing, tools]",0.75
arturmkrtchyan/iban4j,robinst/autolink-java,"[benchmark, junit, performance, testing]",1.0
google/google-java-format,yegor256/cactoos,"[analysis, annotations, defect, google, junit, metadata, testing]",0.88
openlookeng/hetu-core,prestodb/presto,"[amazon, analysis, analyzer, annotations, apache, api, avro, aws, base64, benchmark, bootstrap, broker, bytecode, cache, cassandra, cli, client, cloud, codec, collections, column, command-line, commons, compiler, compression, computing, concurrent, config, connection, connector, console, coordination, csv, database, decoder, directory, discovery, distributed, docker, driver, elastic, elasticsearch, embedded, encoding, event, expression, facebook, framework, geometry, geospatial, github, google, hadoop, http, index, interface, io, javax, jaxrs, jdbc, jmx, json, jvm, jwt, kafka, language, ldap, library, logging, lucene, manager, matching, math, maven, measurement, memory, message, mock, mocking, mongodb, mysql, netty, network, nosql, parquet, parser, plugin, postgresql, protocol, redis, reflection, regexp, repository, resource, rest, runner, runtime, s3, scala, sdk, search, security, serialization, server, socket, spatial, specs, sql, standard, stats, streaming, structures, tabular, terminal, testing, testng, thrift, token, toolkit, tools, tracing, transport, tree, units, url, zookeeper]",0.7
tzaeschke/ode4j,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",1.0
boncey/Flickr4Java,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.83
JodaOrg/joda-money,dlsc-software-consulting-gmbh/FormsFX,"[junit, testing]",1.0
sofastack/sofa-common-tools,zeroturnaround/zt-zip,"[api, bridge, junit, logging, slf4j, testing]",0.75
conversant/disruptor,plutext/docx4j-ImportXHTML,"[api, junit, logging, slf4j, testing]",0.71
eclipsesource/J2V8,gardncl/elements-of-programming-interviews,"[junit, mock, mocking, testing]",0.8
kokorin/Jaffree,roundrop/facebook4j,"[api, bridge, junit, logging, slf4j, testing]",0.75
jkuhnert/ognl,szegedi/dynalink,"[bytecode, junit, testing]",0.75
awslabs/multi-model-server,gardncl/elements-of-programming-interviews,"[junit, mock, mocking, testing]",0.8
googleworkspace/java-samples,youtube/api-samples,"[api, authentication, client, collections, google, http, jetty, oauth, server, service, structures, webserver]",0.75
CloudburstMC/Protocol,hsiafan/apk-parser,"[analysis, encryption, google, junit, testing]",0.71
NightWhistler/HtmlSpanner,ahorn/android-rss,"[android, google, junit, platform, testing]",0.71
NLPchina/nlp-lang,hneemann/Digital,"[apache, api, junit, logging, slf4j, testing]",0.75
kokorin/Jaffree,sofastack/sofa-common-tools,"[apache, api, bridge, io, junit, logging, slf4j, testing]",1.0
gturri/aXMLRPC,javadev/underscore-java,"[github, junit, testing]",1.0
AdoptOpenJDK/jitwatch,zeroturnaround/zt-zip,"[api, junit, logging, slf4j, testing]",0.83
NLPchina/ansj_seg,magese/ik-analyzer-solr,"[analyzer, apache, full-text, index, indexing, junit, lucene, testing]",0.89
maxmind/geoip-api-java,vdurmont/semver4j,"[junit, mock, mocking, testing]",1.0
fluent/fluent-logger-java,jitlogic/zorka,"[api, junit, logging, slf4j, testing]",0.71
apache/commons-codec,huaban/jieba-analysis,"[apache, commons, junit, testing]",1.0
Progether/JAdventure,dgarijo/Widoco,"[api, json, junit, logging, matching, slf4j, testing]",0.78
grundid/nfctools,hoijui/JavaOSC,"[api, bridge, junit, logging, slf4j, testing]",1.0
cucumber-attic/gherkin2,maxmind/geoip-api-java,"[junit, mock, mocking, testing]",1.0
apache/commons-dbutils,cucumber-attic/gherkin2,"[junit, mock, mocking, testing]",0.8
elunez/eladmin,perye/dokit,"[annotations, apache, api, commons, config, dependency-injection, excel, github, io, javax, jdbc, json, logging, mail, model, network, parser, pooling, processor, sdk, specs, spreadsheet, spring, sql, ssh, standard, starter, swagger, ui, xml]",1.0
NoCheatPlus/NoCheatPlus,mpatric/mp3agic,"[junit, testing]",1.0
lbehnke/hierarchical-clustering-java,vanilladb/vanillacore,"[io, junit, testing]",1.0
alibaba/cooma,kiegroup/droolsjbpm-knowledge,"[bridge, junit, logging, slf4j, testing]",0.71
CloudRail/cloudrail-si-java-sdk,beckchr/juel,"[api, junit, testing]",0.75
ThreeTen/threeten-extra,mikera/vectorz,"[api, engine, google, junit, testing]",0.71
TooTallNate/Java-WebSocket,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.83
maxmind/geoip-api-java,zeromq/jzmq,"[junit, mocking, testing]",0.75
indvd00m/java-ascii-render,spotify/futures-extra,"[api, junit, mock, mocking, testing]",0.71
OpenHFT/Zero-Allocation-Hashing,yegor256/cactoos,"[analysis, annotations, defect, google, junit, metadata, testing]",0.78
ThreeTen/threeten-extra,jfree/jfreesvg,"[api, engine, junit, testing]",0.8
kframework/k,kframework/k-legacy,"[analysis, apache, api, base64, cli, codec, collections, command-line, commons, compiler, console, dependency-injection, encoding, encryption, extension, google, graph, io, json, junit, jvm, language, library, mock, mocking, scala, structures, terminal, testing]",0.94
jboss-javassist/javassist,petitparser/java-petitparser,"[junit, matching, testing]",0.75
thomasmueller/minperf,yellowstonegames/SquidLib,"[benchmark, generator, junit, performance, testing]",0.71
broadgsa/gatk,broadgsa/gatk-protected,"[apache, api, aws, benchmark, bridge, client, collections, commons, compiler, database, dependency-injection, driver, engine, expression, github, google, http, intel, io, javax, json, jvm, language, library, logging, mail, match, math, matrix, mongodb, native, nosql, performance, reflection, s3, scala, slf4j, specs, standard, structures, template, testing, testng, tools, vector, xml]",1.0
OWASP/json-sanitizer,hsiafan/apk-parser,"[analysis, google, junit, testing]",0.8
libraryaddict/LibsDisguises,netplex/json-smart-v2,"[api, bytecode, json, junit, testing]",0.71
apavlo/h-store,zeromq/jzmq,"[junit, mocking, testing]",1.0
oracle/pgql-lang,usb4java/usb4java,"[apache, commons, junit, testing]",1.0
JodaOrg/joda-money,perlundq/yajsync,"[junit, testing]",1.0
roundrop/facebook4j,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.83
Esri/geometry-api-java,julman99/gson-fire,"[json, junit, testing]",0.75
JodaOrg/joda-money,Tencent/RapidView,"[junit, testing]",1.0
julman99/gson-fire,microsoft/vscode-java-debug,"[google, json, junit, testing]",1.0
julman99/gson-fire,taycaldwell/riot-api-java,"[google, json, junit, testing]",1.0
roundrop/facebook4j,vasia/gelly-streaming,"[bridge, junit, logging, slf4j, testing]",0.71
NoCheatPlus/NoCheatPlus,Tencent/RapidView,"[junit, testing]",1.0
perlundq/yajsync,zeromq/jeromq,"[junit, testing]",1.0
mcxiaoke/android-volley,sockeqwe/fragmentargs,"[android, google, junit, mock, mocking, platform, testing]",0.78
TheHolyWaffle/TeamSpeak-3-Java-API,boncey/Flickr4Java,"[api, junit, logging, slf4j, testing]",0.83
AdoptOpenJDK/jitwatch,Password4j/password4j,"[api, junit, logging, slf4j, testing]",0.71
spoofzu/DeepViolet,stleary/JSON-java,"[json, junit, mock, mocking, testing]",0.71
JavaMoney/jsr354-api,chewiebug/GCViewer,"[library, matching, mock, mocking, testing]",0.71
jitlogic/zorka,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.71
depsypher/pngtastic,janino-compiler/janino,"[ant, apache, build, junit, testing, tools]",1.0
sbtourist/Journal.IO,zeroturnaround/zt-zip,"[api, bridge, junit, logging, slf4j, testing]",0.75
JorelAli/CommandAPI,lishid/Orebfuscator,[api],1.0
beckchr/juel,jfree/jfreechart,"[api, junit, testing]",0.75
Bukkit/Bukkit,mwanji/toml4j,"[google, json, junit, library, matching, testing]",0.86
jsonzou/jmockdata,julman99/gson-fire,"[json, junit, testing]",0.75
NLPchina/nlp-lang,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.71
roundrop/facebook4j,sbtourist/Journal.IO,"[api, bridge, junit, logging, slf4j, testing]",0.75
JunzhouLiu/BILIBILI-HELPER,splunk/splunk-library-javalogging,"[apache, api, client, google, http, json, junit, logging, slf4j, testing]",0.83
taksan/skype-java-api,zeromq/jeromq,"[junit, testing]",1.0
Thomas-S-B/visualee,aleksandr-m/gitflow-maven-plugin,"[apache, api, build, build-system, junit, maven, model, plugin, testing, tools]",0.71
fordfrog/apgdiff,petitparser/java-petitparser,"[junit, matching, testing]",0.75
JodaOrg/joda-beans,MGunlogson/CuckooFilter4J,"[google, junit, testing]",1.0
jeevatkm/digitalocean-api-java,splunk/splunk-library-javalogging,"[apache, api, client, commons, google, http, json, junit, logging, slf4j, testing]",1.0
guchengwuyue/yshopmall,perye/dokit,"[annotations, apache, api, commons, config, dependency-injection, excel, github, io, javax, json, mail, model, network, parser, pooling, processor, sdk, specs, spreadsheet, spring, ssh, standard, starter, swagger, ui, xml]",0.71
MGunlogson/CuckooFilter4J,julman99/gson-fire,"[google, junit, testing]",0.75
optimatika/ojAlgo,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",0.71
Hakky54/log-captor,restfb/restfb,"[api, assertion, engine, junit, logging, mock, quality, slf4j, testing]",0.82
JakeWharton/DiskLruCache,square/pollexor,"[assertion, junit, quality, testing, validation]",0.83
NLPchina/nlp-lang,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.83
Esri/geometry-api-java,MarkShen1992/Mashibing_High_Concurrency,"[json, junit, testing]",0.75
AdoptOpenJDK/mjprof,alibaba/simpleel,"[junit, testing, tools]",0.75
grundid/nfctools,sbtourist/Journal.IO,"[api, bridge, junit, logging, slf4j, testing]",0.75
Progether/JAdventure,haosdent/jcgroup,"[api, google, json, junit, logging, slf4j, testing]",0.78
